JVSTM Tuning Log

## JVSTM Tuning Parameters
  Policy: jvstm.tuning.policy.HierarchicalGradientDescent
  LogFile: jvstm3.log
  Interval: 50
  MaxThreads: 8
  InitialConfig: [4,2]
  MeasurementType: real
  Contention: High



Timestamp: Mon Mar 28 19:58:09 BST 2016 (1459191489928)

ExecutionTime: 11395

## Tuning round logs:
BestPoint - [4,2] {24,00}  - Alts - [4,2] {24,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,1] {6,00}  - Alts - [4,2] {0,00} , [4,1] {6,00} , [3,2] {2,00} , 
BestPoint - [4,1] {4,00}  - Alts - [4,1] {4,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {0,00}  - Alts - [4,1] {0,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [5,1] {6,00}  - Alts - [4,1] {0,00} , [4,2] {4,00} , [5,1] {6,00} , [3,1] {2,00} , 
BestPoint - [5,1] {0,00}  - Alts - [5,1] {0,00} , [6,1] {0,00} , [4,1] {0,00} , 
BestPoint - [5,1] {0,00}  - Alts - [5,1] {0,00} , [6,1] {0,00} , [4,1] {0,00} , 
BestPoint - [5,1] {10,00}  - Alts - [5,1] {10,00} , [6,1] {0,00} , [4,1] {0,00} , 
BestPoint - [5,1] {0,00}  - Alts - [5,1] {0,00} , [6,1] {0,00} , [4,1] {0,00} , 
BestPoint - [4,1] {6,00}  - Alts - [5,1] {0,00} , [6,1] {0,00} , [4,1] {6,00} , 
BestPoint - [4,2] {2,00}  - Alts - [4,1] {0,00} , [4,2] {2,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,1] {4,00}  - Alts - [4,2] {0,00} , [4,1] {4,00} , [3,2] {4,00} , 
BestPoint - [4,1] {4,00}  - Alts - [4,1] {4,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {0,00}  - Alts - [4,1] {0,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {10,00}  - Alts - [4,1] {10,00} , [4,2] {2,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {0,00}  - Alts - [4,1] {0,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {6,00}  - Alts - [4,1] {6,00} , [4,2] {6,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {0,00}  - Alts - [4,1] {0,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {6,00}  - Alts - [4,1] {6,00} , [4,2] {6,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,1] {0,00}  - Alts - [4,1] {0,00} , [4,2] {0,00} , [5,1] {0,00} , [3,1] {0,00} , 
BestPoint - [4,2] {10,00}  - Alts - [4,1] {0,00} , [4,2] {10,00} , [5,1] {0,00} , [3,1] {6,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [3,2] {8,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {8,00} , 
BestPoint - [4,2] {4,00}  - Alts - [3,2] {0,00} , [3,1] {0,00} , [4,2] {4,00} , [2,2] {0,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,2] {6,00}  - Alts - [4,2] {6,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,2] {2,00}  - Alts - [4,2] {2,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [4,2] {0,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {0,00} , 
BestPoint - [3,2] {2,00}  - Alts - [4,2] {0,00} , [4,1] {0,00} , [3,2] {2,00} , 
